#-- One- and Two-neutron separation energies as evaluated by Audi et al., 
#-- G.Audi et al., Nuclear Physics A729 (2003) 337-676
#
#-------------------------------------------------
# A  elt  Z        S(n)                S(2n)      
#-------------------------------------------------
  1  n   0       0.0     0.0         *           
 25 F    9    4358.14  121.9686   8199.68  126.40
 25 Ne  10    4227.87   25.6543  13096.66   25.64
 25 Na  11    9011.02    1.2046  15970.60    1.20
 25 Mg  12    7330.58    0.0304  23861.69    1.29
 25 Al  13   16930.54    2.8263  31828.38   18.65
 25 Si  14   15001.67   21.8909  36090.0    196.0  
 25 P   15   21196.0    540.0  	     *            
 26 O    8    -200.0    141.0  	  -500.0    100.0  
 26 F    9    1072.25  193.39	  5430.39  181.59
 26 Ne  10    5533.63   37.0777   9761.50   26.78
 26 Na  11    5575.82    5.9575  14586.84    5.83
 26 Mg  12   11093.07    0.0311  18423.65    0.03
 26 Al  13   11365.45    0.4806  28296.00    2.78
 26 Si  14   19040.27   10.4426  34041.94   19.70
 26 P   15   15970.0    277.0  	 37166.0    540.0  
 26 S   16       *           	     *            
 27 O    8   -1170.0    565.0  	 -1370.0    565.0  
 27 F    9    1416.23  411.88	  2488.48  389.29
 27 Ne  10    1430.98  113.5876   6964.61  113.32
 27 Na  11    6726.44    6.8037  12302.25    3.70
 27 Mg  12    6443.39    0.0439  17536.46    0.05
 27 Al  13   13057.67    0.1314  24423.12    0.49
 27 Si  14   13310.99    3.0015  32351.25   10.00
 27 P   15   19761.0    197.0    35732.0    197.0  
 27 S   16   16498.0    360.0  	     *            
 28 O    8    -824.0    780.0  	 -1994.0    649.0   
 28 F    9    -228.0    636.0  	  1188.0    539.0  
 28 Ne  10    3896.67  183.57	  5327.64  149.10
 28 Na  11    3543.13   13.5010  10269.56   14.29
 28 Mg  12    8503.31    2.0072  14946.69    2.00
 28 Al  13    7725.10    0.0621  20782.77    0.14
 28 Si  14   17179.81    0.1503  30490.80    3.00
 28 P   15   14513.04   26.5535  34274.0    196.0  
 28 S   16   21541.0    257.0    38039.0    338.0  
 28 Cl  17       *           	     *            
 29 F    9    1001.0    772.0  	   773.0    690.0  
 29 Ne  10    1258.04  306.10	  5154.70  290.46
 29 Na  11    4417.07   18.4409   7960.19   13.50
 29 Mg  12    3671.71   14.1220  12175.02   13.97
 29 Al  13    9436.20    1.2096  17161.30    1.20
 29 Si  14    8473.57    0.0203  25653.38    0.15
 29 P   15   17865.19    3.3760  32378.23   26.35
 29 S   16   15304.10  167.6309  36845.0    208.0  
 29 Cl  17   21485.0    540.0  	     *            
 30 F    9    -536.0    830.0  	   466.0    786.0  
 30 Ne  10    3027.17  630.81	  4285.21  589.28
 30 Na  11    2375.23   28.3353   6792.30   28.33
 30 Mg  12    6362.96   16.2970  10034.67    8.62
 30 Al  13    5728.41   14.1048  15164.61   14.05
 30 Si  14   10609.20    0.0206  19082.77    0.03
 30 P   15   11319.27    0.6833  29184.46    3.33
 30 S   16   18974.27   50.0901  34278.37  160.03
 30 Cl  17   16771.0    277.0  	 38256.0    540.0  
 30 Ar  18       *           	     *            
 31 F    9     686.0    843.0  	   150.0    150.0   
 31 Ne  10     332.0   1069.0  	  3359.0    943.0  
 31 Na  11    3777.64  212.81	  6152.87  211.72
 31 Mg  12    2378.03   14.7318   8740.98   18.49
 31 Al  13    7152.53   24.7216  12880.94   20.38
 31 Si  14    6587.40    0.0300  17196.59    0.03
 31 P   15   12311.63    0.3623  23630.89    0.63
 31 S   16   13053.43    3.3551  32027.70   50.02
 31 Cl  17   19582.0    202.0    36353.0    202.0  
 31 Ar  18   16861.0    362.0  	     *            
 32 Ne  10    1635.0   1208.0  	  1966.0    984.0  
 32 Na  11    1661.61  414.15	  5439.25  357.06
 32 Mg  12    5808.72   21.4425   8186.74   19.58
 32 Al  13    4179.66   88.3293  11332.18   87.09
 32 Si  14    9203.22    0.0397  15790.61    0.04
 32 P   15    7935.65    0.0422  20247.28    0.36
 32 S   16   15042.37    1.5014  28095.80    3.00
 32 Cl  17   14333.92   50.4362  33916.0    196.0  
 32 Ar  18   21564.0    206.0    38426.0    298.0  
 32 K   19       *           	     *            
 33 Ne  10    -647.0   1133.0  	   987.0   1208.0  
 33 Na  11    2246.50  944.71	  3908.11  900.16
 33 Mg  12    2222.47   26.3807   8031.18   23.01
 33 Al  13    5538.73  112.6097   9718.38   75.54
 33 Si  14    4483.07   15.7988  13686.29   15.79
 33 P   15   10103.59    1.1109  18039.24    1.11
 33 S   16    8641.61    0.0314  23683.98    1.50
 33 Cl  17   15744.98    6.6156  30078.90   50.00
 33 Ar  18   15255.25    1.8104  36820.0    206.0  
 33 K   19   21727.0    540.0  	     *            
 34 Ne  10     947.0   1137.0  	   300.0    100.0   
 34 Na  11     200.0    200.0  	  2447.0    966.0  
 34 Mg  12    4156.78  232.22	  6379.25  232.07
 34 Al  13    2474.43  134.4265   8013.16  142.00
 34 Si  14    7535.43   21.1860  12018.50   14.12
 34 P   15    6291.50    5.1295  16395.08    5.01
 34 S   16   11417.11    0.0911  20058.73    0.09
 34 Cl  17   11507.66    0.4524  27252.64    6.59
 34 Ar  18   17064.39    0.5255  32319.65    1.80
 34 K   19   16315.0    357.0  	 38042.0    585.0  
 34 Ca  20       *           	     *            
 35 Na  11    1250.0    300.0  	  1450.0    361.0   
 35 Mg  12     728.0    463.0  	  4885.0    401.0  
 35 Al  13    5269.01  208.4289   7743.45  189.62
 35 Si  14    2474.85   40.9229  10010.28   41.53
 35 P   15    8371.39    5.3397  14662.89    2.17
 35 S   16    6985.88    0.0411  18403.00    0.10
 35 Cl  17   12645.08    0.1819  24152.74    0.46
 35 Ar  18   12741.51    0.8476  29805.90    0.87
